iter	Passed	Remaining
0	1	115
1	2	118
2	4	138
3	5	126
4	6	120
5	7	115
6	8	111
7	9	109
8	10	107
9	11	104
10	12	102
11	13	100
12	14	99
13	15	96
14	16	94
15	17	92
16	18	90
17	19	88
18	20	86
19	21	84
20	22	83
21	22	81
22	23	80
23	24	78
24	25	77
25	26	75
26	27	74
27	28	73
28	29	72
29	30	70
30	31	69
31	32	68
32	33	67
33	34	66
34	34	64
35	35	63
36	36	62
37	37	61
38	38	60
39	39	59
40	40	58
41	40	56
42	41	55
43	42	54
44	43	53
45	44	52
46	45	51
47	46	50
48	47	49
49	48	48
50	49	47
51	50	46
52	51	45
53	52	44
54	52	43
55	53	42
56	54	41
57	55	40
58	56	39
59	57	38
60	58	37
61	59	36
62	60	35
63	61	34
64	62	33
65	63	32
66	63	31
67	64	30
68	65	29
69	66	28
70	67	27
71	68	26
72	69	25
73	70	24
74	71	23
75	72	22
76	73	21
77	74	20
78	75	19
79	76	19
80	76	18
81	77	17
82	78	16
83	79	15
84	80	14
85	81	13
86	82	12
87	83	11
88	84	10
89	85	9
90	86	8
91	87	7
92	88	6
93	89	5
94	90	4
95	91	3
96	92	2
97	93	1
98	94	0
99	94	0
